date,Wheat,Coffe,Corn
19740822,4.42,0.642,3.625
19740823,4.395,0.6615,3.6675
19740826,4.26,0.7015,3.5675
19740827,4.286,0.6942,3.489
19740828,4.369,0.6594,3.518
19740829,4.403,0.6381,3.458
19740830,4.3965,0.6048,3.427
19740903,4.28,0.5735,3.3225
19740904,4.41,0.5645,3.265
19740905,4.42,0.556,3.345
19740906,4.3875,0.5615,3.38
19740909,4.475,0.5625,3.48
19740910,4.425,0.565,3.4475
19740911,4.495,0.548,3.495
19740912,4.525,0.538,3.565
19740913,4.485,0.518,3.5075
19740916,4.355,0.5017,3.4075
19740917,4.47,0.5217,3.365
19740918,4.475,0.5045,3.3925
19740919,4.525,0.5245,3.435
19740920,4.4675,0.5215,3.415
19740923,4.52,0.5415,3.515
19740924,4.5775,0.549,3.615
19740925,4.6075,0.569,3.575
19740926,4.73,0.5615,3.675
19740927,4.78,0.562,3.775
19740930,4.93,0.542,3.875
19741001,4.77,0.5445,3.775
19741002,4.965,0.5525,3.85
19741003,5.165,0.565,3.95
19741004,5.245,0.564,3.9375
19741007,5.045,0.565,3.8375
19741008,5.04,0.585,3.7375
19741009,5.195,0.5805,3.79
19741010,5.17,0.5845,3.8575
19741011,5.16,0.5844,3.785
19741015,5.17,0.5962,3.8825
19741016,5.1225,0.5932,3.8625
19741017,5.175,0.5858,3.805
19741018,5.145,0.5835,3.8025
19741021,5.2075,0.574,3.8275
19741022,5.2725,0.58,3.8225
19741023,5.24,0.58,3.775
19741024,5.265,0.5725,3.72
19741025,5.275,0.5665,3.6275
19741028,5.12,0.579,3.6375
19741029,5.155,0.57,3.7375
19741030,5.245,0.5759,3.7475
19741031,5.2075,0.576,3.8075
19741101,5.155,0.572,3.765
19741104,5.1575,0.572,3.7825
19741106,5.155,0.58,3.79
19741107,5.14,0.5873,3.7825
19741108,5.12,0.5965,3.795
19741112,4.925,0.6165,3.725
19741113,4.915,0.5997,3.735
19741114,4.915,0.609,3.7325
19741115,4.86,0.608,3.64
19741118,4.66,0.6185,3.54
19741119,4.795,0.632,3.465
19741120,4.82,0.6205,3.565
19741121,4.6725,0.6135,3.465
19741122,4.7225,0.6075,3.4775
19741125,4.799,0.5991,3.499
19741126,5.008,0.5979,3.6035
19741127,4.962,0.6089,3.652
19741129,5.0485,0.6144,3.731
19741202,4.9875,0.6135,3.7225
19741203,5.085,0.6077,3.7925
19741204,4.985,0.599,3.715
19741205,5.0375,0.579,3.7475
19741206,4.925,0.5758,3.65
19741209,4.805,0.587,3.6175
19741210,4.835,0.579,3.6375
19741211,4.805,0.5825,3.6325
19741212,4.8175,0.5958,3.6525
19741213,4.7775,0.5913,3.6375
19741216,4.665,0.6023,3.59
19741217,4.6725,0.5935,3.5225
19741218,4.695,0.5968,3.58
19741219,4.7175,0.6,3.5725
19741220,4.72,0.6015,3.55
19741223,4.6275,0.6,3.4725
19741227,4.565,0.6013,3.395
19741230,4.5325,0.596,3.3825
19741231,4.585,0.5962,3.4175
19750102,4.5775,0.5959,3.4675
19750103,4.4925,0.5941,3.435
19750106,4.41,0.5865,3.5075
19750107,4.21,0.584,3.415
19750108,4.225,0.5825,3.3875
19750109,4.2175,0.576,3.375
19750110,4.2425,0.5728,3.4125
19750113,4.21,0.5568,3.3975
19750114,4.265,0.565,3.405
19750115,4.24,0.5535,3.3725
19750116,4.04,0.5465,3.3025
19750117,3.84,0.549,3.2025
19750120,3.785,0.546,3.1025
19750121,3.94,0.5383,3.1225
19750122,3.78,0.537,3.0225
19750123,3.98,0.5405,3.1225
19750124,4.05,0.5605,3.1875
19750127,3.895,0.5523,3.11
19750128,3.8975,0.5498,3.145
19750129,3.9,0.553,3.1775
19750130,3.895,0.552,3.1625
19750131,3.795,0.5475,3.1125
19750203,3.855,0.5518,3.0775
19750204,3.9425,0.549,3.1375
19750205,3.875,0.5396,3.1075
19750206,3.9352,0.54,3.1225
19750207,3.995,0.5387,3.135
19750210,3.9825,0.537,3.0925
19750211,4.075,0.544,3.1175
19750213,4.115,0.564,3.11
19750214,4.085,0.557,3.1025
19750218,3.93,0.537,3.0175
19750219,3.845,0.522,2.9175
19750220,3.8825,0.5225,2.8575
19750221,3.8075,0.5275,2.805
19750224,3.805,0.5205,2.7825
19750225,3.7485,0.523,2.7345
19750226,3.697,0.5187,2.738
19750227,3.632,0.516,2.6985
19750228,3.487,0.514,2.6145
19750303,3.48,0.5075,2.685
19750304,3.535,0.5185,2.695
19750305,3.5975,0.513,2.745
19750306,3.655,0.5145,2.8325
19750307,3.555,0.522,2.78
19750310,3.5475,0.523,2.805
19750311,3.735,0.523,2.905
19750312,3.6725,0.516,2.965
19750313,3.625,0.515,2.87
19750314,3.575,0.5085,2.83
19750317,3.635,0.502,2.875
19750318,3.545,0.5092,2.825
19750319,3.5725,0.508,2.865
19750320,3.59,0.506,2.845
19750321,3.705,0.5098,2.94
19750324,3.645,0.51,2.905
19750325,3.685,0.514,2.92
19750326,3.77,0.5162,3.005
19750327,3.7475,0.519,2.945
19750331,3.8725,0.519,2.9875
19750401,3.8425,0.5105,3.03
19750402,3.8525,0.4943,3
19750403,3.76,0.5005,2.9475
19750404,3.7725,0.4885,2.975
19750407,3.725,0.4915,2.965
19750408,3.7225,0.484,2.9525
19750409,3.7325,0.4775,2.955
19750410,3.6025,0.47,2.855
19750411,3.6025,0.463,2.8425
19750414,3.5875,0.469,2.8275
19750415,3.465,0.475,2.7975
19750416,3.495,0.47,2.785
19750417,3.5075,0.475,2.865
19750418,3.4875,0.4795,2.8125
19750421,3.4425,0.49,2.8225
19750422,3.365,0.4795,2.805
19750423,3.3975,0.4735,2.825
19750424,3.3825,0.468,2.8675
19750425,3.4125,0.4739,2.945
19750428,3.4365,0.4756,2.9275
19750429,3.3495,0.4798,2.869
19750430,3.3025,0.4855,2.855
19750501,3.175,0.496,2.7525
19750502,3.19,0.5,2.7725
19750505,3.0925,0.5005,2.715
19750506,3.1175,0.519,2.72
19750507,3.125,0.5032,2.6825
19750508,3.1425,0.5143,2.715
19750509,3.1475,0.516,2.705
19750512,3.135,0.514,2.74
19750513,3.1425,0.5025,2.775
19750514,3.135,0.5075,2.7525
19750515,3.1075,0.5078,2.7125
19750516,3.0825,0.5195,2.6875
19750519,3.2575,0.525,2.7275
19750520,3.1875,0.5238,2.75
19750521,3.24,0.532,2.805
19750522,3.2475,0.545,2.76
19750523,3.215,0.5465,2.74
19750527,3.0875,0.546,2.6675
19750528,3.095,0.5325,2.6775
19750529,3.0675,0.535,2.6825
19750530,3.055,0.5411,2.705
19750602,2.9575,0.54,2.7
19750603,3.0075,0.547,2.735
19750604,3.005,0.558,2.7525
19750605,2.9775,0.561,2.7525
19750606,2.965,0.5725,2.7225
19750609,3.0475,0.5903,2.765
19750610,3.02,0.5845,2.765
19750611,3.0025,0.5915,2.7925
19750612,2.965,0.585,2.7725
19750613,2.975,0.5945,2.78
19750616,3.05,0.5958,2.8175
19750617,3.2375,0.5758,2.86
19750618,3.1725,0.5645,2.8625
19750619,3.115,0.5575,2.8475
19750620,3.235,0.5545,2.905
19750623,3.1625,0.5345,2.8725
19750624,3.2175,0.5208,2.8875
19750625,3.1225,0.5376,2.805
19750626,3.099,0.5331,2.7335
19750627,3.0515,0.5436,2.607
19750630,3.0625,0.548,2.542
19750701,3.04,0.5443,2.4925
19750702,3.0225,0.536,2.5275
19750703,3.0575,0.5305,2.575
19750707,3.0825,0.5413,2.5625
19750708,3.2825,0.5495,2.6625
19750709,3.385,0.5438,2.6575
19750710,3.505,0.5405,2.6525
19750711,3.675,0.5472,2.74
19750714,3.59,0.5465,2.6875
19750715,3.615,0.5448,2.755
19750716,3.765,0.55,2.8025
19750717,3.63,0.57,2.725
19750718,3.515,0.59,2.6325
19750721,3.6025,0.61,2.7325
19750722,3.63,0.65,2.725
19750723,3.565,0.69,2.69
19750724,3.6875,0.73,2.7875
19750725,3.76,0.77,2.8225
19750728,3.905,0.81,2.9225
19750729,3.805,0.8223,2.9875
19750730,3.6425,0.8345,2.8875
19750731,3.6675,0.8405,2.87
19750801,3.695,0.849,2.9025
19750804,3.705,0.879,2.9925
19750805,3.695,0.854,2.975
19750806,3.7425,0.85,3.0325
19750807,3.9425,0.8335,3.1325
19750808,3.855,0.848,3.085
19750811,3.835,0.839,3.0675
19750812,3.9325,0.836,3.13
19750813,4.055,0.8375,3.165
19750814,4.115,0.8435,3.18
19750815,4.1675,0.862,3.205
19750818,4.13,0.8665,3.135
19750819,4.2325,0.8617,3.1925
19750820,4.395,0.86,3.2725
19750821,4.475,0.8437,3.225
19750822,4.475,0.8385,3.2175
19750825,4.405,0.821,3.1975
19750826,4.243,0.8337,3.1005
19750827,4.311,0.8415,3.1365
19750828,4.183,0.8434,3.0815
19750829,4.217,0.8376,3.027
19750902,4.1475,0.823,2.955
19750903,4.285,0.8015,2.9775
19750904,4.325,0.816,2.975
19750905,4.3275,0.8135,3
19750908,4.23,0.7945,2.9675
19750909,4.215,0.797,2.8875
19750910,4.245,0.784,2.9275
19750911,4.175,0.785,2.905
19750912,4.335,0.8051,3.005
19750915,4.265,0.822,3.0075
19750916,4.305,0.8247,3.0675
19750917,4.435,0.8178,3.1575
19750918,4.385,0.822,3.1125
19750919,4.3775,0.8335,3.0925
19750922,4.33,0.829,3.0525
19750923,4.255,0.8365,3.0125
19750924,4.2625,0.829,3.03
19750925,4.375,0.8248,3.0525
19750926,4.365,0.8215,3.065
19750929,4.28,0.816,3.03
19750930,4.295,0.8093,3.0325
19751001,4.295,0.809,3.0625
19751002,4.1075,0.811,2.9675
19751003,4.135,0.819,2.9875
19751006,4.18,0.8215,2.975
19751007,4.215,0.8115,2.99
19751008,4.1375,0.8,3.0025
19751009,4.1525,0.81,3
19751010,4.1875,0.8125,3.0025
19751014,4.1325,0.81,2.9625
19751015,4.045,0.805,2.9275
19751016,4.0975,0.8137,2.9525
19751017,4.0575,0.8187,2.9175
19751020,4.13,0.8122,2.9275
19751021,3.95,0.8095,2.855
19751022,3.965,0.8035,2.8425
19751023,3.9225,0.8055,2.83
19751024,3.915,0.802,2.815
19751027,3.7925,0.8075,2.7525
19751028,3.845,0.808,2.7525
19751029,3.9,0.8119,2.7725
19751030,3.9475,0.8083,2.8125
19751031,3.8625,0.801,2.7775
19751103,3.7475,0.791,2.7375
19751105,3.795,0.7765,2.775
19751106,3.73,0.7737,2.7525
19751107,3.705,0.773,2.7325
19751110,3.6375,0.7715,2.6925
19751112,3.505,0.757,2.65
19751113,3.475,0.7582,2.6475
19751114,3.5175,0.767,2.6525
19751117,3.515,0.7665,2.655
19751118,3.425,0.7753,2.6175
19751119,3.3375,0.7685,2.5975
19751120,3.32,0.7825,2.61
19751124,3.595,0.7775,2.767
19751125,3.538,0.777,2.743
19751126,3.554,0.7802,2.7805
19751128,3.529,0.8012,2.774
19751201,3.555,0.7935,2.795
19751202,3.5825,0.7965,2.795
19751203,3.565,0.7968,2.7725
19751204,3.6225,0.7948,2.7825
19751205,3.5775,0.794,2.76
19751208,3.445,0.81,2.6825
19751209,3.4725,0.8088,2.7125
19751210,3.4675,0.8235,2.6975
19751211,3.4775,0.826,2.7025
19751212,3.3475,0.8345,2.62
19751215,3.325,0.8545,2.595
19751216,3.3675,0.8605,2.6275
19751217,3.3775,0.8548,2.645
19751218,3.3925,0.8715,2.6425
19751219,3.43,0.8686,2.6775
19751222,3.4075,0.879,2.6675
19751223,3.3775,0.8775,2.635
19751224,3.375,0.875,2.63
19751229,3.305,0.871,2.6
19751230,3.3375,0.871,2.6025
19751231,3.3575,0.8725,2.615
19760105,3.5025,0.871,2.65
19760106,3.4725,0.869,2.645
19760107,3.56,0.889,2.69
19760108,3.54,0.909,2.6875
19760109,3.5175,0.9165,2.6675
19760112,3.6175,0.9365,2.6975
19760113,3.595,0.932,2.705
19760114,3.5975,0.9447,2.7025
19760115,3.5625,0.941,2.6925
19760116,3.5575,0.945,2.705
19760119,3.5925,0.965,2.7275
19760120,3.5825,0.967,2.7325
19760121,3.5575,0.9562,2.705
19760122,3.4875,0.9505,2.685
19760123,3.5,0.935,2.7125
19760126,3.3425,0.9175,2.6125
19760127,3.3875,0.9375,2.6175
19760128,3.4075,0.9535,2.6325
19760129,3.4325,0.9465,2.64
19760130,3.4975,0.95,2.65
19760202,3.5725,0.9675,2.68
19760203,3.585,0.9605,2.6775
19760204,3.5175,0.9745,2.6675
19760205,3.51,0.9895,2.66
19760206,3.5325,1.0095,2.665
19760209,3.5325,1.0295,2.655
19760210,3.6875,1.0133,2.675
19760211,3.7525,1.023,2.6825
19760213,3.825,1.0335,2.6975
19760217,3.9125,1.0135,2.7025
19760218,3.785,1.0105,2.6925
19760219,3.8325,1.0114,2.6975
19760220,3.765,0.9914,2.6875
19760223,3.8025,0.9835,2.695
19760224,3.867,0.988,2.6965
19760225,3.943,0.973,2.719
19760226,3.798,0.9551,2.7275
19760227,3.995,0.9627,2.767
19760301,3.93,0.9515,2.7675
19760302,3.795,0.9657,2.7275
19760303,3.8,0.971,2.745
19760304,3.885,0.983,2.755
19760305,3.8675,0.988,2.76
19760308,3.7975,0.9815,2.7425
19760309,3.8125,0.9854,2.75
19760310,3.77,0.986,2.745
19760311,3.695,0.974,2.735
19760312,3.715,0.9793,2.7175
19760315,3.7075,0.9612,2.69
19760316,3.655,0.961,2.68
19760317,3.7075,0.981,2.71
19760318,3.745,0.998,2.7325
19760319,3.7325,0.996,2.73
19760322,3.7675,1.016,2.7375
19760323,3.695,1.0245,2.695
19760324,3.6675,1.039,2.6975
19760325,3.5825,1.0413,2.6875
19760326,3.5375,1.0392,2.68
19760329,3.4675,1.0592,2.6525
19760330,3.5175,1.067,2.67
19760331,3.435,1.087,2.655
19760401,3.4775,1.107,2.6525
19760402,3.475,1.1235,2.6575
19760405,3.495,1.1435,2.67
19760406,3.54,1.1635,2.68
19760407,3.5075,1.1475,2.6725
19760408,3.5275,1.1675,2.6725
19760409,3.52,1.1875,2.665
19760412,3.485,1.2075,2.66
19760413,3.4525,1.198,2.6425
19760414,3.46,1.218,2.6425
19760415,3.565,1.2355,2.67
19760419,3.52,1.2555,2.665
19760420,3.4925,1.2755,2.665
19760421,3.4675,1.2555,2.67
19760422,3.46,1.2755,2.68
19760423,3.3575,1.2835,2.68
19760426,3.35,1.339,2.6725
19760427,3.3115,1.3047,2.6835
19760428,3.363,1.2753,2.7275
19760429,3.334,1.2915,2.715
19760430,3.3575,1.2593,2.7305
19760503,3.4075,1.225,2.75
19760504,3.3875,1.2445,2.7425
19760505,3.3725,1.2745,2.7475
19760506,3.3975,1.3045,2.765
19760507,3.385,1.3345,2.7825
19760510,3.4275,1.3375,2.8
19760511,3.445,1.3515,2.8025
19760512,3.49,1.3815,2.825
19760513,3.59,1.401,2.8575
19760514,3.575,1.395,2.8775
19760517,3.555,1.3845,2.8425
19760518,3.5,1.3545,2.8325
19760519,3.4775,1.3455,2.82
19760520,3.4525,1.3755,2.83
19760521,3.4475,1.4025,2.8625
19760524,3.5975,1.3915,2.9225
19760525,3.5,1.4213,2.9
19760526,3.5375,1.413,2.91
19760527,3.5775,1.383,2.9325
19760528,3.565,1.4105,2.9075
19760601,3.6775,1.403,2.9175
19760602,3.6575,1.405,2.9275
19760603,3.6625,1.414,2.95
19760604,3.6175,1.404,2.9675
19760607,3.695,1.391,3.0575
19760608,3.755,1.421,3.0225
19760609,3.785,1.451,3.05
19760610,3.81,1.481,3.09
19760611,3.705,1.511,3.0375
19760614,3.685,1.501,3.0075
19760615,3.595,1.5075,2.965
19760616,3.6175,1.5375,2.9475
19760617,3.59,1.56,2.8975
19760618,3.595,1.565,2.895
19760621,3.695,1.554,2.995
19760622,3.675,1.546,3.0475
19760623,3.6325,1.516,2.9625
19760624,3.7075,1.5,2.995
19760625,3.6955,1.5374,3.0065
19760628,3.733,1.5248,2.97
19760629,3.722,1.513,2.897
19760630,3.7125,1.5276,2.8615
19760701,3.8875,1.529,2.93
19760702,3.9,1.5125,2.955
19760706,3.9975,1.4825,3.0475
19760707,3.7975,1.4525,2.9475
19760708,3.85,1.4415,2.985
19760709,3.78,1.4115,2.99
19760712,3.635,1.3815,2.955
19760713,3.655,1.3515,2.9675
19760714,3.78,1.3235,3.0675
19760715,3.665,1.2935,2.99
19760716,3.6525,1.2635,2.9825
19760719,3.565,1.2335,2.9075
19760720,3.605,1.2635,2.9425
19760721,3.5875,1.279,2.9075
19760722,3.495,1.2635,2.81
19760723,3.5425,1.2935,2.84
19760726,3.4875,1.3235,2.7925
19760727,3.4925,1.3405,2.8
19760728,3.49,1.3705,2.81
19760729,3.45,1.4005,2.815
19760730,3.41,1.4175,2.8025
19760802,3.2875,1.4475,2.7525
19760803,3.325,1.441,2.765
19760804,3.3725,1.464,2.8025
19760805,3.355,1.4795,2.7975
19760806,3.3025,1.502,2.78
19760809,3.2325,1.472,2.76
19760810,3.2475,1.4765,2.7425
19760811,3.2425,1.486,2.7275
19760812,3.2525,1.516,2.7325
19760813,3.2625,1.546,2.8
19760816,3.25,1.576,2.785
19760817,3.17,1.606,2.7375
19760818,3.1925,1.605,2.7725
19760819,3.2425,1.61,2.825
19760820,3.2225,1.5802,2.8025
19760823,3.2575,1.57,2.8425
19760824,3.205,1.5965,2.8225
19760825,3.1375,1.675,2.7975
19760826,3.153,1.6216,2.8055
19760827,3.16,1.561,2.8305
19760830,3.1415,1.5194,2.788
19760831,3.208,1.5128,2.8015
19760901,3.2675,1.4998,2.845
19760902,3.3325,1.5298,2.8925
19760903,3.3175,1.5385,2.9025
19760907,3.415,1.5685,3.0025
19760908,3.3175,1.5785,2.955
19760909,3.3375,1.557,2.9425
19760910,3.3075,1.587,2.935
19760913,3.1875,1.5775,2.91
19760914,3.17,1.5555,2.88
19760915,3.2225,1.5515,2.89
19760916,3.1925,1.549,2.8925
19760917,3.105,1.53,2.8325
19760920,3.09,1.5,2.83
19760921,3.0775,1.5125,2.8075
19760922,3.0875,1.532,2.7625
19760923,3.1275,1.562,2.7575
19760924,3.0725,1.616,2.7125
19760927,3.025,1.67,2.6975
19760928,3.01,1.6495,2.715
19760929,2.9225,1.661,2.675
19760930,2.885,1.6625,2.6675
19761001,2.8425,1.69,2.6475
19761004,2.895,1.6925,2.6975
19761005,2.915,1.7175,2.7025
19761006,2.955,1.695,2.72
19761007,2.975,1.735,2.755
19761008,2.9525,1.745,2.71
19761012,2.9475,1.77,2.665
19761013,3.0875,1.767,2.7475
19761014,2.95,1.707,2.6575
19761015,2.8925,1.75,2.635
19761018,2.8875,1.7775,2.635
19761019,2.9175,1.755,2.6575
19761020,2.91,1.7305,2.6475
19761021,2.8675,1.7425,2.6425
19761022,2.845,1.735,2.6375
19761025,2.8075,1.705,2.6325
19761026,2.785,1.68,2.6125
19761027,2.75,1.76,2.5825
19761028,2.715,1.7825,2.5175
19761029,2.75,1.785,2.5225
19761101,2.77,1.775,2.5275
19761103,2.7225,1.77,2.5025
19761104,2.74,1.7865,2.53
19761105,2.715,1.813,2.5225
19761108,2.6975,1.8275,2.48
19761109,2.6525,1.83,2.4475
19761110,2.65,1.835,2.4575
19761112,2.5725,1.855,2.3325
19761115,2.615,1.84,2.32
19761116,2.63,1.835,2.3675
